1 10000000.0 79 13.65646407229267 3694.0 1  0 0 ((((r7:0.004463,r6:0.003825):0.000799,(r5:0.003693,r4:0.002042):0.000524):0.000427,r3:0.002069):0.000593,(r0:0.002399,r1:0.002354):0.000715,r2:0.002702); 1.7342878726159023 0.11428571428571432
1 10000000.0 7 13.618540922673274 3687.0 1  0 0 ((r2:0.00273,(r1:0.002378,r0:0.002394):0.000723):0.000436,(r5:0.003624,r4:0.002088):0.000555,((r7:0.004434,r6:0.003932):0.000741,r3:0.002361):0.000406); 2.7798538696909363 0.2857142857142857
1 10000000.0 80 13.801785050204536 3573.0 1  0 0 ((((r7:0.004451,r6:0.003914):0.000674,r5:0.003709):0.000386,(r3:0.001991,r4:0.00218):0.000531):0.000527,(r0:0.002368,r1:0.002227):0.000794,r2:0.002596); 1.8112781244591316 0.12857142857142856
1 10000000.0 81 13.57497247706422 3588.0 1  0 0 ((r2:0.002744,(r0:0.002319,r1:0.002398):0.000816):0.000436,((r7:0.004394,r6:0.003754):0.000804,r3:0.002213):0.000316,(r4:0.001984,r5:0.003568):0.000518); 2.7798538696909363 0.2857142857142857
1 10000000.0 82 13.602603706972639 3621.0 1  0 0 ((r6:0.003813,r7:0.004506):0.000677,(r5:0.0036,r3:0.001964):0.000478,(r4:0.002194,((r0:0.002272,r1:0.002223):0.000701,r2:0.002682):0.000492):0.000392); 2.6681222459933007 0.24285714285714288
1 10000000.0 83 13.399899324032791 3598.0 1  0 0 ((((r5:0.003578,r4:0.002167):0.000515,(r7:0.004522,r6:0.003795):0.000733):0.00049,r3:0.002117):0.00051,r2:0.00287,(r1:0.002514,r0:0.00239):0.000681); 1.7342878726159023 0.11428571428571432
1 10000000.0 84 13.707520070707815 3599.0 1  0 0 (r0:0.002268,r1:0.002302,((((r3:0.002078,r4:0.002208):0.000483,(r7:0.004395,r6:0.003779):0.000637):0.00033,r5:0.003715):0.000525,r2:0.002749):0.000773); 2.979400370452434 0.30000000000000004
1 10000000.0 85 13.318337836850946 3714.0 1  0 0 (r3:0.002132,(r2:0.002687,(r0:0.002261,r1:0.00235):0.00069):0.000483,((r7:0.004337,r6:0.003701):0.00066,(r5:0.003548,r4:0.002032):0.000477):0.000404); 1.7342878726159023 0.11428571428571432
1 10000000.0 86 13.741302277887645 3793.0 1  0 0 (((r5:0.003661,r3:0.002088):0.000507,(r4:0.00235,(r6:0.003761,r7:0.004676):0.000728):0.000423):0.000464,(r0:0.002468,r1:0.00233):0.0007,r2:0.002804); 2.591131994150069 0.24285714285714288
1 10000000.0 87 13.770959633298832 3613.0 1  0 0 ((r7:0.004577,r6:0.003861):0.000703,(((r1:0.002335,r0:0.002338):0.000784,r2:0.002626):0.000555,r5:0.003743):0.000331,(r3:0.001874,r4:0.002163):0.000517); 2.979400370452434 0.30000000000000004
1 10000000.0 88 13.798587858494686 3697.0 1  0 0 (r5:0.003694,(r7:0.004476,r6:0.003883):0.000801,((r3:0.002133,r4:0.002254):0.000568,(r2:0.002875,(r0:0.002399,r1:0.002459):0.000824):0.000467):0.000332); 1.8112781244591325 0.12857142857142856
1 10000000.0 89 13.776263321974914 3739.0 1  0 0 ((r3:0.002351,(r2:0.002874,(r0:0.002377,r1:0.002466):0.000846):0.000496):0.000499,(r5:0.003684,r4:0.002172):0.000582,(r7:0.004483,r6:0.003994):0.000597); 1.7342878726159023 0.11428571428571432
1 10000000.0 8 13.691053885084846 3625.0 1  0 0 ((r3:0.002164,r4:0.002157):0.000501,(r5:0.003673,(r2:0.002763,(r0:0.0024,r1:0.002242):0.000693):0.000484):0.000347,(r7:0.00427,r6:0.0037):0.000656); 2.979400370452434 0.30000000000000004
1 10000000.0 90 13.534047827354915 3536.0 1  0 0 (r6:0.003712,(((r4:0.002003,r3:0.00211):0.000532,r5:0.003762):0.000275,(r2:0.002719,(r0:0.002321,r1:0.002137):0.0007):0.000603):0.000686,r7:0.00456); 3.2136882430683356 0.30000000000000004
1 10000000.0 91 13.604029251505592 3752.0 1  0 0 ((r2:0.002702,(r1:0.002531,r0:0.002553):0.00078):0.000422,r4:0.002388,((r7:0.004447,r6:0.004085):0.00064,(r5:0.003739,r3:0.002146):0.000496):0.000428); 2.6681222459933007 0.24285714285714288
1 10000000.0 92 13.648859455481972 3571.0 1  0 0 ((r1:0.002294,r0:0.002184):0.000807,(((r7:0.004322,r6:0.003867):0.00074,(r5:0.003593,r4:0.00203):0.000434):0.000351,r3:0.002325):0.000578,r2:0.002711); 1.7342878726159014 0.11428571428571432
1 10000000.0 93 13.651318665306718 3621.0 1  0 0 (((r5:0.003428,r3:0.002069):0.00052,(r2:0.002797,(r1:0.002255,r0:0.002407):0.000801):0.000558):0.000329,(r6:0.003843,r7:0.004468):0.000722,r4:0.002364); 2.5911319941500697 0.24285714285714288
1 10000000.0 94 13.656869294143844 3746.0 1  0 0 ((r5:0.003636,r4:0.002131):0.000466,((r2:0.002573,(r1:0.002386,r0:0.002444):0.000636):0.000462,r3:0.002179):0.000452,(r7:0.004432,r6:0.003872):0.0006); 1.7342878726159023 0.11428571428571432
1 10000000.0 95 13.602495285071813 3748.0 1  0 0 (r3:0.002214,(r2:0.002775,(r0:0.002323,r1:0.002382):0.000792):0.000501,((r4:0.00201,r5:0.003578):0.000532,(r6:0.003769,r7:0.004473):0.000743):0.000359); 1.7342878726159023 0.11428571428571432
1 10000000.0 96 13.57536443148688 3674.0 1  0 0 (r5:0.003761,((r7:0.004441,r6:0.00387):0.000692,(r4:0.002168,r3:0.002098):0.000555):0.000331,(r2:0.002883,(r0:0.00243,r1:0.002416):0.000782):0.000436); 2.9794003704524332 0.30000000000000004
1 10000000.0 97 13.590393838104927 3730.0 1  0 0 ((r7:0.004515,r6:0.003719):0.000811,(((r0:0.00245,r1:0.002401):0.000662,r2:0.002726):0.00056,(r5:0.003643,r3:0.002079):0.000546):0.000329,r4:0.002284); 2.5911319941500697 0.24285714285714288
1 10000000.0 98 13.678087238432067 3655.0 1  0 0 ((((r7:0.004428,r6:0.003809):0.000717,(r5:0.003487,r3:0.001999):0.000515):0.000389,r4:0.002432):0.000443,(r0:0.002307,r1:0.002343):0.000694,r2:0.00269); 2.6681222459933 0.24285714285714288
